indicator,gender,ageMonths,L,M,S,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
LENGTH_HEIGHT_FOR_AGE,MALE,50,1,104.4473,0.04086,91.6,95.9,100.2,104.4,108.7,113,117.3
LENGTH_HEIGHT_FOR_AGE,MALE,51,1,105.0041,0.041,92.1,96.4,100.7,105,109.3,113.6,117.9
LENGTH_HEIGHT_FOR_AGE,MALE,52,1,105.5596,0.04113,92.5,96.9,101.2,105.6,109.9,114.2,118.6
LENGTH_HEIGHT_FOR_AGE,MALE,53,1,106.1138,0.04126,93,97.4,101.7,106.1,110.5,114.9,119.2
LENGTH_HEIGHT_FOR_AGE,MALE,54,1,106.6668,0.04139,93.4,97.8,102.3,106.7,111.1,115.5,119.9
LENGTH_HEIGHT_FOR_AGE,MALE,55,1,107.2188,0.04152,93.9,98.3,102.8,107.2,111.7,116.1,120.6
LENGTH_HEIGHT_FOR_AGE,MALE,56,1,107.7697,0.04165,94.3,98.8,103.3,107.8,112.3,116.7,121.2
LENGTH_HEIGHT_FOR_AGE,MALE,57,1,108.3198,0.04177,94.7,99.3,103.8,108.3,112.8,117.4,121.9
LENGTH_HEIGHT_FOR_AGE,MALE,58,1,108.8689,0.0419,95.2,99.7,104.3,108.9,113.4,118,122.6
LENGTH_HEIGHT_FOR_AGE,MALE,59,1,109.417,0.04202,95.6,100.2,104.8,109.4,114,118.6,123.2
LENGTH_HEIGHT_FOR_AGE,MALE,60,1,109.9638,0.04214,96.1,100.7,105.3,110,114.6,119.2,123.9
WEIGHT_FOR_AGE,FEMALE,0,0.3809,3.2322,0.14171,2,2.4,2.8,3.2,3.7,4.2,4.8
WEIGHT_FOR_AGE,FEMALE,1,0.1714,4.1873,0.13724,2.7,3.2,3.6,4.2,4.8,5.5,6.2
WEIGHT_FOR_AGE,FEMALE,2,0.0962,5.1282,0.13,3.4,3.9,4.5,5.1,5.8,6.6,7.5
WEIGHT_FOR_AGE,FEMALE,3,0.0402,5.8458,0.12619,4,4.5,5.2,5.8,6.6,7.5,8.5
WEIGHT_FOR_AGE,FEMALE,4,-0.005,6.4237,0.12402,4.4,5,5.7,6.4,7.3,8.2,9.3
WEIGHT_FOR_AGE,FEMALE,5,-0.043,6.8985,0.12274,4.8,5.4,6.1,6.9,7.8,8.8,10
WEIGHT_FOR_AGE,FEMALE,6,-0.0756,7.297,0.12204,5.1,5.7,6.5,7.3,8.2,9.3,10.6
WEIGHT_FOR_AGE,FEMALE,7,-0.1039,7.6422,0.12178,5.3,6,6.8,7.6,8.6,9.8,11.1
WEIGHT_FOR_AGE,FEMALE,8,-0.1288,7.9487,0.12181,5.6,6.3,7,7.9,9,10.2,11.6
WEIGHT_FOR_AGE,FEMALE,9,-0.1507,8.2254,0.12199,5.8,6.5,7.3,8.2,9.3,10.5,12
WEIGHT_FOR_AGE,FEMALE,10,-0.17,8.48,0.12223,5.9,6.7,7.5,8.5,9.6,10.9,12.4
WEIGHT_FOR_AGE,FEMALE,11,-0.1872,8.7192,0.12247,6.1,6.9,7.7,8.7,9.9,11.2,12.8
WEIGHT_FOR_AGE,FEMALE,12,-0.2024,8.9481,0.12268,6.3,7,7.9,8.9,10.1,11.5,13.1
WEIGHT_FOR_AGE,FEMALE,13,-0.2158,9.1699,0.12283,6.4,7.2,8.1,9.2,10.4,11.8,13.5
